status	unit	id	simp	gloss_en	defs	example_zh	example_en	key_tokens
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0002	啊	interjection of surprise	interjection of surprise | expression of recognition	啊，原来是你！	Ah, so it is you!	interjection,surprise,expression,recognition
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0021	包括	to comprise	to comprise | to include	他的薪水包括基本工資和提成。	His remuneration consists of a base salary plus commissions.	comprise,include
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0052	不要紧	unimportant	unimportant	稍微冷点儿不要紧。	I don't care if it's a bit cold.	unimportant
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0054	不管	not to be concerned	not to be concerned	不管我跟她说了多少次，她还是继续犯同样的错误。	No matter how often I tell her, she keeps making the same mistake.	not,concerned
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0055	不然	not so	not so | if not	慢慢来，不然你可能会出错的。	Take your time, or you may make some mistakes.	not
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0122	此	this; these	this	我希望如此。	I hope so.	these
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0123	此外	besides; in addition; moreover; furthermore	besides	此外，中國人喜歡睡午覺。	What's more, Chinese people like taking naps.	besides,addition,moreover,furthermore
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0127	从此	from now on	from now on	她从此就留在国外了。	She has remained abroad ever since.	now
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0167	导致	to lead to; to create; to cause; to bring about	to lead to | to cause	道路结冰导致了很多起事故。	Many accidents resulted from the icy conditions of the road.	lead,create,cause,bring
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0178	的确	really	really	我抓不到句子的确切含义。	I can't get at the exact meaning of the sentence.	really
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0193	定	to fix; to set; to make definite	to fix | to set	到了最後，大家一定要靠自己學習。	Everyone must learn on their own in the end.	fix,set,make,definite
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0208	对于	regarding	regarding	你对于现在的年轻人有什么看法？	What do you think about young people today?	regarding
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0230	反而	on the contrary; instead	on the contrary	你不但不和我一起吃饭，反而去和另一个女生吃饭！	Not only did you not eat with me, you went to have dinner with another girl!	contrary,instead
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0236	非	not	not | to not be	我觉得这个网站的概念非常好。	I really like the concept of this website.	not
