manifest_missing_id	manifest_simp	manifest_new_unit	extra_band_id	extra_band_simp	extra_band_current_unit
L7-0668	叮嘱	b7-social-nuance	L7-1879	级别	b79-m3-tech-innovation
L7-0799	反映	b7-academic-logic	L7-1880	极度	b79-m3-tech-innovation
L7-0848	分离	b7-tech-science	L7-1881	极力	b79-m3-tech-innovation
L7-0942	感染	b7-health-medical	L7-1882	极少数	b79-m3-tech-innovation
L7-0956	高级	b7-general-formal	L7-1883	极为	b79-m3-tech-innovation
L7-1008	宫殿	b7-culture-heritage	L7-1884	极限	b79-m3-tech-innovation
L7-1009	恭敬	b7-social-behavior	L7-1886	即便	b79-m3-tech-innovation
L7-1010	恭喜	b7-social-nuance	L7-1887	即可	b79-m3-tech-innovation
L7-1082	灌溉	b7-tech-infrastructure	L7-1888	急剧	b79-m3-tech-innovation
L7-1090	广阔	b7-nature-geography	L7-1890	急性	b79-m3-tech-innovation
L7-1109	贵宾	b7-social-nuance	L7-1891	急需	b79-m3-tech-innovation
L7-1112	滚	b7-general-formal	L7-1892	急于	b79-m3-tech-innovation
L7-1142	海拔	b7-nature-geography	L7-1893	急诊	b79-m3-tech-innovation
L7-1149	海面	b7-nature-geography	L7-1896	集会	b79-m3-tech-innovation
L7-1150	海内外	b7-politics-society	L7-1897	集结	b79-m3-tech-innovation
L7-1151	海鲜	b7-culture-food	L7-1898	集邮	b79-m3-tech-innovation
L7-1152	海域	b7-nature-geography	L7-1900	集资	b79-m3-tech-innovation
L7-1172	好评	b7-culture-media	L7-1905	计策	b79-m3-tech-innovation
L7-1196	合影	b7-social-culture	L7-1906	计较	b79-m3-tech-innovation
L7-1198	何必	b7-academic-logic	L7-1907	计时	b79-m3-tech-innovation
L7-1200	何等	b7-academic-logic	L7-1908	记号	b79-m3-tech-innovation
L7-1205	核能	b7-tech-science	L7-1911	纪念碑	b79-m3-tech-innovation
L7-1218	横	b7-general-formal	L7-1916	忌	b79-m3-tech-innovation
L7-1221	轰隆	b7-general-formal	L7-1917	忌讳	b79-m3-tech-innovation
L7-1223	红火	b7-finance-business	L7-1918	忌口	b79-m3-tech-innovation
L7-1237	呼吁	b7-politics-society	L7-1919	剂	b79-m3-tech-innovation
L7-1242	糊里糊涂	b7-idioms-behavior	L7-1921	继	b79-m3-tech-innovation
L7-1247	互惠	b7-politics-diplomacy	L7-1922	继而	b79-m3-tech-innovation
L7-1265	化肥	b7-tech-science	L7-1923	继父	b79-m3-tech-innovation
L7-1269	化验	b7-health-medical	L7-1924	继母	b79-m3-tech-innovation
L7-1270	话筒	b7-tech-science	L7-1925	祭	b79-m3-tech-innovation
L7-1281	幻影	b7-tech-science	L7-1926	祭奠	b79-m3-tech-innovation
L7-1289	荒唐	b7-social-behavior	L7-1927	祭祀	b79-m3-tech-innovation
L7-1301	恢复	b7-academic-logic	L7-1928	寄托	b79-m3-tech-innovation
L7-1304	回击	b7-politics-military	L7-1929	寂静	b79-m3-tech-innovation
L7-1313	会馆	b7-social-culture	L7-1931	加紧	b79-m3-tech-innovation
L7-1314	会籍	b7-social-culture	L7-1932	加剧	b79-m3-tech-innovation
