id	simp	current_unit	manifest_old_unit	manifest_new_unit	tag	resolution	old_unit_matches_current
L7-0001	阿拉伯语	b79-m1-cause-effect	b79-m1-cause-effect	b7-culture-language		id+simp	yes
L7-0002	哎	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-interjections		id+simp	yes
L7-0003	哎呀	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-interjections		id+simp	yes
L7-0004	哀求	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-emotions	polite	id+simp	yes
L7-0005	挨家挨户	b79-m1-cause-effect	b79-m1-cause-effect	b7-idioms-formal		id+simp	yes
L7-0006	癌	b79-m1-cause-effect	b79-m1-cause-effect	b7-health-medical		id+simp	yes
L7-0007	癌症	b79-m1-cause-effect	b79-m1-cause-effect	b7-health-medical		id+simp	yes
L7-0008	艾滋病	b79-m1-cause-effect	b79-m1-cause-effect	b7-health-medical		id+simp	yes
L7-0009	唉	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-interjections		id+simp	yes
L7-0010	爱不释手	b79-m1-cause-effect	b79-m1-cause-effect	b7-idioms-formal		id+simp	yes
L7-0011	爱理不理	b79-m1-cause-effect	b79-m1-cause-effect	b7-idioms-behavior		id+simp	yes
L7-0012	爱面子	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-culture		id+simp	yes
L7-0013	爱惜	b79-m1-cause-effect	b79-m1-cause-effect	b7-general-virtues		id+simp	yes
L7-0014	碍事	b79-m1-cause-effect	b79-m1-cause-effect	b7-general-formal		id+simp	yes
L7-0015	安定	b79-m1-cause-effect	b79-m1-cause-effect	b7-politics-society		id+simp	yes
L7-0016	安抚	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-emotions	polite	id+simp	yes
L7-0017	安眠药	b79-m1-cause-effect	b79-m1-cause-effect	b7-health-medical		id+simp	yes
L7-0018	安宁	b79-m1-cause-effect	b79-m1-cause-effect	b7-politics-society		id+simp	yes
L7-0019	安稳	b79-m1-cause-effect	b79-m1-cause-effect	b7-general-formal		id+simp	yes
L7-0020	安心	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-emotions		id+simp	yes
L7-0021	安逸	b79-m1-cause-effect	b79-m1-cause-effect	b7-general-formal		id+simp	yes
L7-0022	按键	b79-m1-cause-effect	b79-m1-cause-effect	b7-tech-science		id+simp	yes
L7-0023	按理说	b79-m1-cause-effect	b79-m1-cause-effect	b7-academic-logic		id+simp	yes
L7-0024	按说	b79-m1-cause-effect	b79-m1-cause-effect	b7-academic-logic		id+simp	yes
L7-0025	案件	b79-m1-cause-effect	b79-m1-cause-effect	b7-politics-legal		id+simp	yes
L7-0026	暗地里	b79-m1-cause-effect	b79-m1-cause-effect	b7-general-formal		id+simp	yes
L7-0027	暗杀	b79-m1-cause-effect	b79-m1-cause-effect	b7-politics-crime		id+simp	yes
L7-0028	暗中	b79-m1-cause-effect	b79-m1-cause-effect	b7-general-formal		id+simp	yes
L7-0029	昂贵	b79-m1-cause-effect	b79-m1-cause-effect	b7-finance-business		id+simp	yes
L7-0030	凹	b79-m1-cause-effect	b79-m1-cause-effect	b7-tech-science		id+simp	yes
L7-0031	熬	b79-m1-cause-effect	b79-m1-cause-effect	b7-general-formal		id+simp	yes
L7-0032	熬夜	b79-m1-cause-effect	b79-m1-cause-effect	b7-health-lifestyle		id+simp	yes
L7-0033	傲	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-emotions		id+simp	yes
L7-0034	傲慢	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-emotions		id+simp	yes
L7-0035	奥秘	b79-m1-cause-effect	b79-m1-cause-effect	b7-tech-science		id+simp	yes
L7-0036	奥运会	b79-m1-cause-effect	b79-m1-cause-effect	b7-culture-sports		id+simp	yes
L7-0037	八卦	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-culture		id+simp	yes
L7-0038	巴不得	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-emotions		id+simp	yes
L7-0039	扒	b79-m1-cause-effect	b79-m1-cause-effect	b7-general-formal		id+simp	yes
L7-0040	芭蕾	b79-m1-cause-effect	b79-m1-cause-effect	b7-culture-arts		id+simp	yes
L7-0041	把柄	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-nuance		id+simp	yes
L7-0042	把关	b79-m1-cause-effect	b79-m1-cause-effect	b7-finance-business		id+simp	yes
L7-0043	把手	b79-m1-cause-effect	b79-m1-cause-effect	b7-general-formal		id+simp	yes
L7-0044	靶子	b79-m1-cause-effect	b79-m1-cause-effect	b7-general-formal		id+simp	yes
L7-0045	坝	b79-m1-cause-effect	b79-m1-cause-effect	b7-tech-infrastructure		id+simp	yes
L7-0046	罢免	b79-m1-cause-effect	b79-m1-cause-effect	b7-politics-diplomacy	polite	id+simp	yes
L7-0047	罢休	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-emotions		id+simp	yes
L7-0048	霸占	b79-m1-cause-effect	b79-m1-cause-effect	b7-politics-society		id+simp	yes
L7-0049	掰	b79-m1-cause-effect	b79-m1-cause-effect	b7-general-formal		id+simp	yes
L7-0050	白白	b79-m1-cause-effect	b79-m1-cause-effect	b7-general-formal		id+simp	yes
L7-0051	百分比	b79-m1-cause-effect	b79-m1-cause-effect	b7-academic-logic		id+simp	yes
L7-0052	百合	b79-m1-cause-effect	b79-m1-cause-effect	b7-nature-flora		id+simp	yes
L7-0053	百科全书	b79-m1-cause-effect	b79-m1-cause-effect	b7-academic-logic		id+simp	yes
L7-0054	柏树	b79-m1-cause-effect	b79-m1-cause-effect	b7-nature-flora		id+simp	yes
L7-0055	摆放	b79-m1-cause-effect	b79-m1-cause-effect	b7-general-formal		id+simp	yes
L7-0056	摆平	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-nuance		id+simp	yes
L7-0057	摆设	b79-m1-cause-effect	b79-m1-cause-effect	b7-general-formal		id+simp	yes
L7-0058	拜会	b79-m1-cause-effect	b79-m1-cause-effect	b7-politics-diplomacy	polite	id+simp	yes
L7-0059	拜见	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-nuance	polite	id+simp	yes
L7-0060	拜年	b79-m1-cause-effect	b79-m1-cause-effect	b7-culture-holidays		id+simp	yes
L7-0061	拜托	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-nuance	polite	id+simp	yes
L7-0062	扳	b79-m1-cause-effect	b79-m1-cause-effect	b7-general-formal		id+simp	yes
L7-0063	颁布	b79-m1-cause-effect	b79-m1-cause-effect	b7-politics-legal		id+simp	yes
L7-0064	颁发	b79-m1-cause-effect	b79-m1-cause-effect	b7-politics-diplomacy	polite	id+simp	yes
L7-0065	颁奖	b79-m1-cause-effect	b79-m1-cause-effect	b7-culture-social	polite	id+simp	yes
L7-0066	斑点	b79-m1-cause-effect	b79-m1-cause-effect	b7-general-formal		id+simp	yes
L7-0067	搬迁	b79-m1-cause-effect	b79-m1-cause-effect	b7-general-formal		id+simp	yes
L7-0068	板块	b79-m1-cause-effect	b79-m1-cause-effect	b7-tech-science		id+simp	yes
L7-0069	办不到	b79-m1-cause-effect	b79-m1-cause-effect	b7-general-formal		id+simp	yes
L7-0070	半边天	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-culture		id+simp	yes
L7-0071	半场	b79-m1-cause-effect	b79-m1-cause-effect	b7-culture-sports		id+simp	yes
L7-0072	半岛	b79-m1-cause-effect	b79-m1-cause-effect	b7-nature-geography		id+simp	yes
L7-0073	半路	b79-m1-cause-effect	b79-m1-cause-effect	b7-general-formal		id+simp	yes
